id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,rag,0,True,,3.5021627,66.94123621206629,5529.242224597232,0.3675015,512,"{0: 8420.2890625, 1: 261.0}",5.680522464,380.2611960705728,56.586487510501904
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual,rag,0,True,,,67.32678668590133,1395.860728072991,0.3969995,512,"{0: 5258.2890625, 1: 3968.09765625}",5.680522464,382.4513241981986,28.456199717127873
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,ollama,auto,rag,0,True,,5.0300738,43.00263373303792,4584.031560794188,0.4433255,512,"{0: 7060.484375, 1: 5772.09765625}",9.527502048,409.7076809609127,30.484202452448862
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual,rag,0,True,,,43.89168457561003,1518.4914676728667,0.3670745,512,"{0: 6914.3515625, 1: 5582.09765625}",9.527502048,418.1781146842946,31.11444305686716
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,rag,0,True,,6.9965483,22.433115159370622,2998.0443644416546,0.6778525,512,"{0: 11237.5234375, 1: 9778.09765625}",16.817244384,377.26317992955086,28.07017707809158
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,rag,0,True,,,22.706885419197583,443.7804005575835,1.2487365,512,"{0: 11296.6484375, 1: 9794.09765625}",16.817244384,381.867241294132,28.412741167718153
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,rag,0,True,,9.1112053,17.40722029946142,2580.5620921493355,0.7874270000000001,512,"{0: 13853.59375, 1: 12244.09765625}",22.523238624,392.06697658530635,29.17165004354958
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,rag,0,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,rag,0,True,,7.7232591,74.75227242188441,66943.92277243876,0.029846499999999998,512,"{0: 11449.1953125, 1: 9486.09765625}",16.947539744,1266.8671078242012,94.26094552263402
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,rag,0,True,,,79.55729054723759,1386.5823824606455,0.376768,512,"{0: 11930.4140625, 1: 9810.09765625}",16.947539744,1348.3003434742645,100.31996603231134
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,chat,0,True,,,17.665953987120506,323.20611516647404,0.497664,256,"{0: 13937.3515625, 1: 12234.09765625}",22.523238624,397.8944971725194,29.605245325336266
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,rag,0,True,,8.3301209,74.1945397451253,66864.1141646544,0.0298815,512,"{0: 11620.2265625, 1: 9486.09765625}",16.947539744,1257.4149111182987,93.55765707725438
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,rag,0,True,,,54.80622360562771,663.409561505161,0.7897365,512,"{0: 15906.8203125, 1: 261.0}",16.947539744,928.8306527749265,138.21884713912598
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,rag,0,True,,,52.31537072611423,554.9620187403175,0.9443205,512,"{0: 2018.98828125, 1: 14364.09765625}",16.947539744,886.6168246029151,65.96851373533595
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,rag,0,True,,,79.00348799988745,1643.011712912423,0.31862549999999995,512,"{0: 11934.1171875, 1: 9810.09765625}",16.947539744,1338.9147527927198,99.62163339231547
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,rag,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,True,,,101.30360700410121,1339.1095019108886,0.4144205,512,"{0: 13999.12890625, 1: 11208.09765625}",22.134528992,2242.3076262264526,166.83836504661105
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,rag,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,rag,0,True,,,64.54508500057794,439.6977902968358,1.3178035,512,"{0: 16030.40625, 1: 261.0}",22.134528992,1428.6750552363967,212.60045464827334
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,rag,0,True,,,60.97002619475136,369.31802985831354,1.5336329999999998,512,"{0: 1996.70703125, 1: 14274.09765625}",22.134528992,1349.5428124507234,100.41241164067883
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,True,,,98.39329275028697,1246.7492117269694,0.4467525,512,"{0: 14116.6015625, 1: 11208.09765625}",22.134528992,2177.8891909995705,162.04532671127757
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,ollama,auto,rag,0,True,,8.6483844,95.7409637051736,4729.8046806053935,0.42962500000000003,512,"{0: 13849.015625, 1: 11248.09765625}",22.134528992,2119.181136854185,157.67716792069828
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,rag,0,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
